♥A,♣5,♣9,♣3,♦9,(1) One pair
♣10,♠7,♣7,♥10,♠9,(2) Two pairs
♠7,♦7,♦K,♦9,♠9,(2) Two pairs
♣10,♠7,♣7,♥10,♠6,(2) Two pairs
♣10,♠7,♣7,♦9,♠9,(2) Two pairs
♣10,♠7,♥10,♦9,♠9,(2) Two pairs
♣10,♥J,♣9,♥10,♦9,(2) Two pairs
♣10,♥J,♣9,♥10,♠9,(2) Two pairs
♣10,♥J,♦7,♣7,♥10,(2) Two pairs
♠7,♦7,♦K,♣3,♦3,(2) Two pairs
♣9,♦7,♦K,♣7,♦9,(2) Two pairs
♣9,♦7,♦K,♣7,♠9,(2) Two pairs
♣10,♥J,♣3,♦3,♥10,(2) Two pairs
♣10,♥J,♥10,♦9,♠9,(2) Two pairs
♣10,♣5,♣9,♥10,♦9,(2) Two pairs
♣10,♣5,♣9,♥10,♠9,(2) Two pairs
♦7,♣7,♦9,♠9,♠6,(2) Two pairs
♠7,♣9,♣7,♠9,♠6,(2) Two pairs
♠7,♣9,♣7,♦9,♠6,(2) Two pairs
♣10,♣5,♦7,♣7,♥10,(2) Two pairs
♦7,♣7,♥10,♦9,♠9,(2) Two pairs
♠7,♣9,♣7,♥10,♠9,(2) Two pairs
♠7,♣9,♣7,♥10,♦9,(2) Two pairs
♣9,♦7,♣3,♣7,♦3,(2) Two pairs
♠7,♣9,♣7,♦3,♠9,(2) Two pairs
♣9,♦7,♣3,♣7,♦9,(2) Two pairs
♣9,♦7,♣3,♣7,♠9,(2) Two pairs
♠7,♣9,♣7,♦3,♦9,(2) Two pairs
♠7,♣9,♣7,♥Q,♠9,(2) Two pairs
♠7,♣9,♣7,♥Q,♦9,(2) Two pairs
♣10,♣5,♣3,♦3,♥10,(2) Two pairs
♠7,♣9,♣3,♦3,♠9,(2) Two pairs
♣9,♦7,♣3,♦3,♦9,(2) Two pairs
♣9,♦7,♣3,♦3,♠9,(2) Two pairs
♠7,♣9,♣3,♦3,♦9,(2) Two pairs
♠7,♣9,♣3,♣7,♠9,(2) Two pairs
♠7,♣9,♣3,♣7,♦9,(2) Two pairs
♣10,♣5,♥10,♦9,♠9,(2) Two pairs
♠7,♣9,♣3,♣7,♦3,(2) Two pairs
♦7,♣7,♦3,♦9,♠9,(2) Two pairs
♠7,♣9,♦K,♣7,♠9,(2) Two pairs
♠7,♣9,♦K,♣7,♦9,(2) Two pairs
♣9,♦7,♣7,♥Q,♦9,(2) Two pairs
♣9,♦7,♣7,♥Q,♠9,(2) Two pairs
♠7,♣9,♦7,♠9,♠6,(2) Two pairs
♠7,♣9,♦7,♦9,♠6,(2) Two pairs
♣9,♦7,♣7,♦3,♦9,(2) Two pairs
♣9,♦7,♣7,♦3,♠9,(2) Two pairs
♣10,♣9,♦7,♣7,♥10,(2) Two pairs
♣9,♦7,♣7,♥10,♦9,(2) Two pairs
♣9,♦7,♣7,♥10,♠9,(2) Two pairs
♠7,♣9,♦7,♥10,♠9,(2) Two pairs
♣10,♣9,♦7,♣7,♦9,(2) Two pairs
♣9,♦7,♣7,♦9,♠6,(2) Two pairs
♣9,♦7,♣7,♠9,♠6,(2) Two pairs
♠7,♣9,♦7,♥10,♦9,(2) Two pairs
♠7,♣9,♦7,♦3,♠9,(2) Two pairs
♠7,♣9,♦7,♦3,♦9,(2) Two pairs
♠7,♣9,♦7,♥Q,♠9,(2) Two pairs
♣10,♣9,♦7,♣7,♠9,(2) Two pairs
♠7,♣9,♦7,♥Q,♦9,(2) Two pairs
♣10,♣9,♦7,♥10,♦9,(2) Two pairs
♣10,♣9,♦7,♥10,♠9,(2) Two pairs
♦7,♣7,♥Q,♦9,♠9,(2) Two pairs
♣10,♣9,♦K,♥10,♦9,(2) Two pairs
♣10,♣9,♦K,♥10,♠9,(2) Two pairs
♣10,♣9,♣3,♦3,♥10,(2) Two pairs
♣10,♣9,♣3,♦3,♦9,(2) Two pairs
♣10,♣9,♣3,♦3,♠9,(2) Two pairs
♠7,♣9,♦7,♣3,♠9,(2) Two pairs
♣10,♣9,♣3,♥10,♠9,(2) Two pairs
♠7,♣9,♦7,♣3,♦9,(2) Two pairs
♠7,♣9,♦7,♣3,♦3,(2) Two pairs
♣10,♣9,♣7,♥10,♦9,(2) Two pairs
♠7,♣9,♦7,♦K,♠9,(2) Two pairs
♠7,♣9,♦7,♦K,♦9,(2) Two pairs
♣10,♣9,♣7,♥10,♠9,(2) Two pairs
♠7,♣5,♣7,♦9,♠9,(2) Two pairs
♣9,♦K,♣3,♦3,♦9,(2) Two pairs
♣9,♦K,♣3,♦3,♠9,(2) Two pairs
♠7,♣5,♣3,♣7,♦3,(2) Two pairs
♠7,♣5,♦7,♦9,♠9,(2) Two pairs
♦7,♣3,♦3,♦9,♠9,(2) Two pairs
♣10,♣9,♥Q,♥10,♦9,(2) Two pairs
♣10,♣9,♥Q,♥10,♠9,(2) Two pairs
♣10,♣9,♦3,♥10,♦9,(2) Two pairs
♣10,♣9,♦3,♥10,♠9,(2) Two pairs
♣10,♣9,♥10,♦9,♠6,(2) Two pairs
♣10,♣9,♥10,♠9,♠6,(2) Two pairs
♠7,♣5,♦7,♣3,♦3,(2) Two pairs
♦7,♣3,♣7,♦9,♠9,(2) Two pairs
♣10,♦7,♦K,♣7,♥10,(2) Two pairs
♣10,♦7,♣3,♣7,♦3,(2) Two pairs
♦7,♣3,♣7,♦3,♠6,(2) Two pairs
♠7,♣5,♣9,♣7,♠9,(2) Two pairs
♠7,♣5,♣9,♣7,♦9,(2) Two pairs
♠7,♣5,♣9,♦7,♠9,(2) Two pairs
♠7,♣5,♣9,♦7,♦9,(2) Two pairs
♦7,♣3,♣7,♦3,♠9,(2) Two pairs
♦7,♣3,♣7,♦3,♦9,(2) Two pairs
♠7,♥J,♣7,♦9,♠9,(2) Two pairs
♠7,♥J,♣3,♣7,♦3,(2) Two pairs
♠7,♥J,♦7,♦9,♠9,(2) Two pairs
♦7,♣3,♣7,♦3,♥10,(2) Two pairs
♣10,♦7,♣3,♣7,♥10,(2) Two pairs
♣10,♦7,♣3,♦3,♥10,(2) Two pairs
♣10,♦7,♣7,♥Q,♥10,(2) Two pairs
♣10,♦7,♣7,♦3,♥10,(2) Two pairs
♦7,♣3,♣7,♥Q,♦3,(2) Two pairs
♣10,♦7,♣7,♥10,♦9,(2) Two pairs
♣10,♦7,♣7,♥10,♠9,(2) Two pairs
♣10,♦7,♣7,♥10,♠6,(2) Two pairs
♠7,♥J,♦7,♣3,♦3,(2) Two pairs
♣10,♦7,♣7,♦9,♠9,(2) Two pairs
♣10,♦7,♥10,♦9,♠9,(2) Two pairs
♣9,♣3,♣7,♦3,♦9,(2) Two pairs
♣9,♣3,♣7,♦3,♠9,(2) Two pairs
♣10,♦K,♣3,♦3,♥10,(2) Two pairs
♠7,♥J,♣9,♣7,♠9,(2) Two pairs
♠7,♥J,♣9,♣7,♦9,(2) Two pairs
♦7,♦K,♣7,♦9,♠9,(2) Two pairs
♠7,♥J,♣9,♦7,♠9,(2) Two pairs
♣5,♣9,♣3,♦3,♠9,(2) Two pairs
♣10,♦K,♥10,♦9,♠9,(2) Two pairs
♣9,♣3,♥Q,♦3,♦9,(2) Two pairs
♣9,♣3,♥Q,♦3,♠9,(2) Two pairs
♣10,♣3,♣7,♦3,♥10,(2) Two pairs
♥A,♣3,♦3,♦9,♠9,(2) Two pairs
♥A,♦7,♣7,♦9,♠9,(2) Two pairs
♣10,♣3,♥Q,♦3,♥10,(2) Two pairs
♥A,♦7,♣3,♣7,♦3,(2) Two pairs
♣10,♣3,♦3,♥10,♦9,(2) Two pairs
♣9,♣3,♦3,♥10,♦9,(2) Two pairs
♣9,♣3,♦3,♥10,♠9,(2) Two pairs
♣10,♣3,♦3,♥10,♠9,(2) Two pairs
♣10,♣3,♦3,♥10,♠6,(2) Two pairs
♣9,♣3,♦3,♦9,♠6,(2) Two pairs
♣9,♣3,♦3,♠9,♠6,(2) Two pairs
♣10,♣3,♦3,♦9,♠9,(2) Two pairs
♣10,♣3,♥10,♦9,♠9,(2) Two pairs
♣10,♣7,♥10,♦9,♠9,(2) Two pairs
♣10,♥Q,♥10,♦9,♠9,(2) Two pairs
♣10,♦3,♥10,♦9,♠9,(2) Two pairs
♣10,♥10,♦9,♠9,♠6,(2) Two pairs
♥A,♣9,♣3,♦3,♠9,(2) Two pairs
♥A,♣9,♣3,♦3,♦9,(2) Two pairs
♥A,♠7,♣9,♦7,♦9,(2) Two pairs
♥A,♠7,♣9,♦7,♠9,(2) Two pairs
♥A,♠7,♣9,♣7,♦9,(2) Two pairs
♥A,♣9,♦7,♣7,♠9,(2) Two pairs
♥A,♣9,♦7,♣7,♦9,(2) Two pairs
♥A,♠7,♣9,♣7,♠9,(2) Two pairs
♦7,♦K,♣3,♣7,♦3,(2) Two pairs
♥A,♠7,♦7,♣3,♦3,(2) Two pairs
♥A,♠7,♦7,♦9,♠9,(2) Two pairs
♥A,♠7,♣3,♣7,♦3,(2) Two pairs
♥A,♠7,♣7,♦9,♠9,(2) Two pairs
♠7,♦7,♣7,♦3,♠6,(3) Three of a kind
♠7,♣5,♦7,♣7,♥Q,(3) Three of a kind
♣9,♣7,♥10,♦9,♠9,(3) Three of a kind
♣9,♥Q,♦3,♦9,♠9,(3) Three of a kind
♥A,♠7,♦7,♣7,♠6,(3) Three of a kind
♥A,♠7,♦7,♣7,♠9,(3) Three of a kind
♣9,♥Q,♥10,♦9,♠9,(3) Three of a kind
♥A,♠7,♦7,♣7,♦9,(3) Three of a kind
♥A,♠7,♦7,♣7,♥10,(3) Three of a kind
♣9,♦7,♥Q,♦9,♠9,(3) Three of a kind
♣9,♦3,♥10,♦9,♠9,(3) Three of a kind
♥A,♠7,♦7,♣7,♦3,(3) Three of a kind
♥A,♠7,♦7,♣7,♥Q,(3) Three of a kind
♣9,♦3,♦9,♠9,♠6,(3) Three of a kind
♣9,♥10,♦9,♠9,♠6,(3) Three of a kind
♣10,♥A,♠7,♦7,♣7,(3) Three of a kind
♥A,♣5,♣9,♦9,♠9,(3) Three of a kind
♥A,♠7,♦7,♣3,♣7,(3) Three of a kind
♥A,♠7,♦7,♦K,♣7,(3) Three of a kind
♥A,♠7,♣9,♦9,♠9,(3) Three of a kind
♣9,♣7,♦3,♦9,♠9,(3) Three of a kind
♥A,♣9,♦7,♦9,♠9,(3) Three of a kind
♥A,♣9,♦K,♦9,♠9,(3) Three of a kind
♣9,♣7,♥Q,♦9,♠9,(3) Three of a kind
♥A,♠7,♣9,♦7,♣7,(3) Three of a kind
♥A,♠7,♣5,♦7,♣7,(3) Three of a kind
♥A,♠7,♥J,♦7,♣7,(3) Three of a kind
♥A,♣9,♣3,♦9,♠9,(3) Three of a kind
♥A,♣9,♣7,♦9,♠9,(3) Three of a kind
♣9,♣3,♦9,♠9,♠6,(3) Three of a kind
♥A,♣9,♥Q,♦9,♠9,(3) Three of a kind
♥A,♣9,♦3,♦9,♠9,(3) Three of a kind
♣9,♣3,♥10,♦9,♠9,(3) Three of a kind
♣5,♣9,♦9,♠9,♠6,(3) Three of a kind
♥A,♣9,♥10,♦9,♠9,(3) Three of a kind
♥A,♣9,♦9,♠9,♠6,(3) Three of a kind
♣9,♣3,♥Q,♦9,♠9,(3) Three of a kind
♠7,♥J,♣5,♦7,♣7,(3) Three of a kind
♠7,♥J,♣9,♦7,♣7,(3) Three of a kind
♣9,♣3,♣7,♦9,♠9,(3) Three of a kind
♠7,♥J,♣9,♦9,♠9,(3) Three of a kind
♠7,♥J,♦7,♦K,♣7,(3) Three of a kind
♠7,♥J,♦7,♣3,♣7,(3) Three of a kind
♠7,♥J,♦7,♣7,♥Q,(3) Three of a kind
♣9,♦K,♦9,♠9,♠6,(3) Three of a kind
♠7,♥J,♦7,♣7,♦3,(3) Three of a kind
♠7,♥J,♦7,♣7,♥10,(3) Three of a kind
♣9,♦K,♥10,♦9,♠9,(3) Three of a kind
♠7,♥J,♦7,♣7,♦9,(3) Three of a kind
♠7,♥J,♦7,♣7,♠9,(3) Three of a kind
♣9,♦K,♦3,♦9,♠9,(3) Three of a kind
♠7,♥J,♦7,♣7,♠6,(3) Three of a kind
♣9,♦K,♥Q,♦9,♠9,(3) Three of a kind
♠7,♣5,♣9,♦7,♣7,(3) Three of a kind
♠7,♣5,♣9,♦9,♠9,(3) Three of a kind
♣9,♦K,♣7,♦9,♠9,(3) Three of a kind
♠7,♣5,♦7,♦K,♣7,(3) Three of a kind
♣10,♣9,♦9,♠9,♠6,(3) Three of a kind
♠7,♣5,♦7,♣3,♣7,(3) Three of a kind
♠7,♣9,♦7,♣7,♠6,(3) Three of a kind
♠7,♣5,♦7,♣7,♦3,(3) Three of a kind
♣5,♣9,♥10,♦9,♠9,(3) Three of a kind
♣10,♣9,♦3,♦9,♠9,(3) Three of a kind
♠7,♣5,♦7,♣7,♥10,(3) Three of a kind
♠7,♣5,♦7,♣7,♦9,(3) Three of a kind
♣10,♣9,♥Q,♦9,♠9,(3) Three of a kind
♠7,♣5,♦7,♣7,♠9,(3) Three of a kind
♣9,♦K,♣3,♦9,♠9,(3) Three of a kind
♣10,♣9,♣7,♦9,♠9,(3) Three of a kind
♠7,♣5,♦7,♣7,♠6,(3) Three of a kind
♠7,♣9,♦7,♦K,♣7,(3) Three of a kind
♠7,♣9,♦7,♣3,♣7,(3) Three of a kind
♣10,♣9,♣3,♦9,♠9,(3) Three of a kind
♣9,♦7,♦9,♠9,♠6,(3) Three of a kind
♠7,♣9,♦7,♣7,♥Q,(3) Three of a kind
♣9,♦7,♥10,♦9,♠9,(3) Three of a kind
♠7,♣9,♦7,♣7,♦3,(3) Three of a kind
♣10,♣9,♦K,♦9,♠9,(3) Three of a kind
♠7,♣9,♦7,♣7,♥10,(3) Three of a kind
♣9,♦7,♦3,♦9,♠9,(3) Three of a kind
♣10,♣9,♦7,♦9,♠9,(3) Three of a kind
♣5,♣9,♦3,♦9,♠9,(3) Three of a kind
♠7,♦7,♣3,♣7,♥10,(3) Three of a kind
♥A,♥J,♣9,♦9,♠9,(3) Three of a kind
♣9,♥Q,♦9,♠9,♠6,(3) Three of a kind
♣5,♣9,♥Q,♦9,♠9,(3) Three of a kind
♣10,♥A,♣9,♦9,♠9,(3) Three of a kind
♠7,♣9,♦K,♦9,♠9,(3) Three of a kind
♣9,♦7,♣3,♦9,♠9,(3) Three of a kind
♠7,♣9,♣3,♦9,♠9,(3) Three of a kind
♣5,♣9,♣7,♦9,♠9,(3) Three of a kind
♣9,♦7,♦K,♦9,♠9,(3) Three of a kind
♣10,♣5,♣9,♦9,♠9,(3) Three of a kind
♠7,♣9,♥Q,♦9,♠9,(3) Three of a kind
♠7,♣9,♦3,♦9,♠9,(3) Three of a kind
♠7,♣9,♥10,♦9,♠9,(3) Three of a kind
♣5,♣9,♣3,♦9,♠9,(3) Three of a kind
♠7,♣9,♦9,♠9,♠6,(3) Three of a kind
♠7,♦7,♦K,♣3,♣7,(3) Three of a kind
♣5,♣9,♦K,♦9,♠9,(3) Three of a kind
♣10,♠7,♥J,♦7,♣7,(3) Three of a kind
♠7,♦7,♦K,♣7,♥Q,(3) Three of a kind
♣10,♥J,♣9,♦9,♠9,(3) Three of a kind
♠7,♦7,♦K,♣7,♦3,(3) Three of a kind
♠7,♦7,♦K,♣7,♥10,(3) Three of a kind
♣5,♣9,♦7,♦9,♠9,(3) Three of a kind
♠7,♦7,♦K,♣7,♦9,(3) Three of a kind
♠7,♦7,♦K,♣7,♠9,(3) Three of a kind
♠7,♦7,♦K,♣7,♠6,(3) Three of a kind
♠7,♦7,♣3,♣7,♥Q,(3) Three of a kind
♥J,♣9,♦9,♠9,♠6,(3) Three of a kind
♣10,♠7,♣5,♦7,♣7,(3) Three of a kind
♠7,♦7,♣3,♣7,♦9,(3) Three of a kind
♠7,♦7,♣3,♣7,♠9,(3) Three of a kind
♠7,♦7,♣3,♣7,♠6,(3) Three of a kind
♠7,♦7,♣7,♥Q,♦3,(3) Three of a kind
♠7,♦7,♣7,♥Q,♥10,(3) Three of a kind
♠7,♦7,♣7,♥Q,♦9,(3) Three of a kind
♠7,♦7,♣7,♥Q,♠9,(3) Three of a kind
♠7,♦7,♣7,♥Q,♠6,(3) Three of a kind
♠7,♦7,♣7,♦3,♥10,(3) Three of a kind
♠7,♦7,♣7,♦3,♦9,(3) Three of a kind
♠7,♦7,♣7,♦3,♠9,(3) Three of a kind
♣9,♣7,♦9,♠9,♠6,(3) Three of a kind
♣10,♠7,♦7,♣7,♠6,(3) Three of a kind
♣10,♠7,♦7,♣7,♠9,(3) Three of a kind
♣10,♠7,♦7,♣7,♦9,(3) Three of a kind
♥J,♣9,♥10,♦9,♠9,(3) Three of a kind
♣10,♠7,♦7,♣7,♦3,(3) Three of a kind
♣10,♠7,♦7,♣7,♥Q,(3) Three of a kind
♠7,♦7,♣7,♥10,♦9,(3) Three of a kind
♠7,♦7,♣7,♥10,♠9,(3) Three of a kind
♣10,♠7,♦7,♣3,♣7,(3) Three of a kind
♠7,♦7,♣7,♥10,♠6,(3) Three of a kind
♣10,♠7,♦7,♦K,♣7,(3) Three of a kind
♣10,♠7,♣9,♦9,♠9,(3) Three of a kind
♥J,♣9,♦3,♦9,♠9,(3) Three of a kind
♠7,♦7,♣7,♦9,♠6,(3) Three of a kind
♠7,♦7,♣7,♠9,♠6,(3) Three of a kind
♥J,♣5,♣9,♦9,♠9,(3) Three of a kind
♥J,♣9,♦7,♦9,♠9,(3) Three of a kind
♣10,♠7,♣9,♦7,♣7,(3) Three of a kind
♥J,♣9,♦K,♦9,♠9,(3) Three of a kind
♥J,♣9,♣3,♦9,♠9,(3) Three of a kind
♥J,♣9,♣7,♦9,♠9,(3) Three of a kind
♥J,♣9,♥Q,♦9,♠9,(3) Three of a kind
♥J,♦K,♥Q,♥10,♠9,(4) Straight
♣10,♥J,♣9,♦K,♥Q,(4) Straight
♣10,♥J,♦K,♥Q,♦9,(4) Straight
♣10,♥A,♥J,♦K,♥Q,(4) Straight
♥J,♦K,♥Q,♥10,♦9,(4) Straight
♣10,♥J,♦K,♥Q,♠9,(4) Straight
♥A,♥J,♦K,♥Q,♥10,(4) Straight
♥J,♣9,♦K,♥Q,♥10,(4) Straight
♣10,♣5,♣9,♣3,♣7,(5) Flush
♣10,♣9,♥10,♦9,♠9,(6) Full house
♠7,♦7,♣3,♣7,♦3,(6) Full house
♠7,♣9,♣7,♦9,♠9,(6) Full house
♠7,♣9,♦7,♦9,♠9,(6) Full house
♣9,♦7,♣7,♦9,♠9,(6) Full house
♠7,♣9,♦7,♣7,♦9,(6) Full house
♠7,♣9,♦7,♣7,♠9,(6) Full house
♣10,♠7,♦7,♣7,♥10,(6) Full house
♣9,♣3,♦3,♦9,♠9,(6) Full house
♠7,♦7,♣7,♦9,♠9,(6) Full house
